Name,Category,Location,Lat,Lon,Description,Municipality,Province,Tags,PhotoHint,Image_URL
Intramuros Walled City,Historical Site/Family/Relaxation,"Intramuros, Manila",14.59,120.975,"The historic walled area within Manila, serving as the seat of government and political power during the Spanish colonial period.",Intramuros,Manila,historical site|family|relaxation,Intramuros Walled City Intramuros Manila Philippines,https://cdn.sanity.io/images/nxpteyfv/goguides/02a9cc2ff464e5fee518642d0a787f94e0da4798-1600x1066.jpg
Binondo Chinatown,Cultural Spot/Family,"Binondo, Manila",14.6,120.974,"The world's oldest Chinatown, established in 1594, famous for its authentic Hokkien cuisine, jewelry shops, and the Binondo Church.",Binondo,Manila,cultural spot|family,Binondo Chinatown Binondo Manila Philippines,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f9/5d/b3/chinatown.jpg?w=900&h=-1&s=1
Aling Lucing's Sisig,Restaurant/Romantic,"Angeles, Pampanga",15.132,120.59,"The birthplace of the modern Sisig, founded by Lucia Cunanan, credited with inventing the famous sizzling pork dish.",Angeles,Pampanga,restaurant|romantic,Aling Lucing's Sisig Angeles Pampanga Philippines,https://i0.wp.com/pierregoestopampanga.wordpress.com/wp-content/uploads/2018/09/aling-lucing.jpg?fit=1200%2C900&ssl=1
Paoay Church,Historical Site/Family,"Paoay, Ilocos Norte",18.062,120.522,"A UNESCO World Heritage site known for its massive buttresses designed to withstand earthquakes, a prime example of Earthquake Baroque.",Paoay,Ilocos Norte,historical site|family,Paoay Church Paoay Ilocos Norte Philippines,https://upload.wikimedia.org/wikipedia/commons/1/19/Paoay_Church_and_Bell_Tower.jpg
Hundred Islands National Park,Nature Park/Family/Relaxation,"Alaminos, Pangasinan",16.206,120.033,"A protected area comprising 124 islands and islets, famous for island hopping, snorkeling, and the Governor's Island viewdeck.",Alaminos,Pangasinan,nature park|family|relaxation,Hundred Islands National Park Alaminos Pangasinan Philippines,https://islandhoppinginthephilippines.com/luzon/wp-content/uploads/2023/10/hundred-islands-national-park.jpg
Villa Escudero Plantations,Cultural Spot/Family,"Tiaong, Quezon",13.931,121.345,A coconut plantation and resort famous for its waterfall restaurant where guests dine with their feet submerged in the running water.,Tiaong,Quezon,cultural spot|family,Villa Escudero Plantations Tiaong Quezon Philippines,https://images.trvl-media.com/place/6272126/9a9b7287-676b-43a7-88c2-0be4ad80ba11.jpg
Corregidor Island,Historical Site/Family,"Cavite City, Cavite",14.383,120.575,"A historic island fortress at the entrance of Manila Bay, featuring ruins of barracks and heavy artillery from World War II.",Cavite City,Cavite,historical site|family,Corregidor Island Cavite City Cavite Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfWUAiZUwCsmjrdNu7V7d4tvENlmaX_4f2KQ&s
Minor Basilica of the National Shrine of Our Lady of Mount Carmel (Diocese of Cubao),Historical Site/Family,"Quezon City, NCR",14.61458716,121.0307811,"The central religious and historical landmark of Quezon City, serving as the spiritual heart of the Catholic community in NCR.",Quezon City,NCR,historical site|family,Minor Basilica of the National Shrine of Our Lady of Mount Carmel (Diocese of Cubao) Quezon City NCR Philippines,https://upload.wikimedia.org/wikipedia/commons/1/19/Mount_Carmel_Shrine_facade_2023-05-07.jpg
Farmers Market - Araneta City,Pasalubong Store/Family,"Quezon City, NCR",14.62174184,121.0525471,"The bustling trade center of Quezon City, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Quezon City,NCR,pasalubong store|family,Farmers Market - Araneta City Quezon City NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbbkjqIE7giZxfBFhBJeXQ44PdSaqjkFQ8Fw&s
Quezon City Hall,Nature Park/Family/Relaxation,"Quezon City, NCR",14.64750497,121.0498765,"A key community gathering space in the heart of Quezon City, perfect for leisure, events, and experiencing the local NCR lifestyle.",Quezon City,NCR,nature park|family|relaxation,Quezon City Hall Quezon City NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxj2ahkHzaZlYM4h7MGFWUgl3Gm0xDgpKUgQ&s
Ombu Kusina,Restaurant/Romantic,"Quezon City, NCR",14.63736801,121.0291112,A popular dining spot in Quezon City serving authentic NCR dishes and affordable comfort food favored by locals.,Quezon City,NCR,restaurant|romantic,Ombu Kusina Quezon City NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbJDRIQsnOy07IIom6tQMMQsY_1uY5f7TbLw&s
Minor Basilica & National Shrine of Jesus Nazareno / Quiapo Church (Archdiocese of Manila,Historical Site/Family,"Manila, NCR",14.59868136,120.983753,"The central religious and historical landmark of Manila, serving as the spiritual heart of the Catholic community in NCR.",Manila,NCR,historical site|family,Minor Basilica & National Shrine of Jesus Nazareno / Quiapo Church (Archdiocese of Manila Manila NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-6jwQF5frwersGlvSP3QBmYx9yFG__cMy_g&s
QUINTA Market,Pasalubong Store/Family,"Manila, NCR",14.5985681,120.9823442,"The bustling trade center of Manila, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Manila,NCR,pasalubong store|family,QUINTA Market Manila NCR Philippines,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/89/f4/0b/caption.jpg?w=900&h=500&s=1
Manila City Hall,Nature Park/Family/Relaxation,"Manila, NCR",14.59050936,120.981915,"A key community gathering space in the heart of Manila, perfect for leisure, events, and experiencing the local NCR lifestyle.",Manila,NCR,nature park|family|relaxation,Manila City Hall Manila NCR Philippines,https://upload.wikimedia.org/wikipedia/commons/8/82/Manila_city_hall_-_front.jpg
The Aristocrat Restaurant,Restaurant/Romantic,"Manila, NCR",14.56902767,120.9828815,A popular dining spot in Manila serving authentic NCR dishes and affordable comfort food favored by locals.,Manila,NCR,restaurant|romantic,The Aristocrat Restaurant Manila NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKkg52o6f1kTiL8RAXnH0E3__KyZm8K9vYeg&s
Santuario de San Antonio Parish (Archdiocese of Manila),Historical Site/Family,"Makati, NCR",14.55536734,121.0343763,"The central religious and historical landmark of Makati, serving as the spiritual heart of the Catholic community in NCR.",Makati,NCR,historical site|family,Santuario de San Antonio Parish (Archdiocese of Manila) Makati NCR Philippines,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4e/49/b2/santuario-de-san-antonio.jpg?w=1200&h=-1&s=1
Guadalupe Public Market,Pasalubong Store/Family,"Makati, NCR",14.56813026,121.0460458,"The bustling trade center of Makati, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Makati,NCR,pasalubong store|family,Guadalupe Public Market Makati NCR Philippines,https://i.ytimg.com/vi/LRFEBUXcbKA/maxresdefault.jpg
Makati City Hall,Nature Park/Family/Relaxation,"Makati, NCR",14.57240178,121.0285224,"A key community gathering space in the heart of Makati, perfect for leisure, events, and experiencing the local NCR lifestyle.",Makati,NCR,nature park|family|relaxation,Makati City Hall Makati NCR Philippines,https://upload.wikimedia.org/wikipedia/commons/5/53/Old_and_new_Makati_City_Hall.jpg
Alamat Filipino Cuisine,Restaurant/Romantic,"Makati, NCR",14.56567124,121.0303248,A popular dining spot in Makati serving authentic NCR dishes and affordable comfort food favored by locals.,Makati,NCR,restaurant|romantic,Alamat Filipino Cuisine Makati NCR Philippines,https://www.notorious-concepts.com/cdn/shop/files/275982375_3185732555040414_5309448760153131422_n.jpg?v=1692275721&width=1500
Sto. Niño de Taguig Parish Church,Historical Site/Family,"Taguig, NCR",14.51442587,121.0539806,"The central religious and historical landmark of Taguig, serving as the spiritual heart of the Catholic community in NCR.",Taguig,NCR,historical site|family,Sto. Niño de Taguig Parish Church Taguig NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUDaF0hQGPjnKxba8wVXKj74TBlYZbalIcTQ&s
Taguig People's Market,Pasalubong Store/Family,"Taguig, NCR",14.49159923,121.0595127,"The bustling trade center of Taguig, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Taguig,NCR,pasalubong store|family,Taguig People's Market Taguig NCR Philippines,https://pia.gov.ph/uploads/2023/06/525b1485a79502efa32d2e624bb26cef.jpg
Taguig City Hall,Nature Park/Family/Relaxation,"Taguig, NCR",14.53191507,121.0683454,"A key community gathering space in the heart of Taguig, perfect for leisure, events, and experiencing the local NCR lifestyle.",Taguig,NCR,nature park|family|relaxation,Taguig City Hall Taguig NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3gmIJebsW-wUkkapCR8LT_2YLO_A_yh25ww&s
Belly Fiesta Restaurant,Restaurant/Romantic,"Taguig, NCR",14.51209415,121.0555147,A popular dining spot in Taguig serving authentic NCR dishes and affordable comfort food favored by locals.,Taguig,NCR,restaurant|romantic,Belly Fiesta Restaurant Taguig NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYgKhioCmSthWbHEf2Xu3H2zo80TpIDh2ZEw&s
Immaculate Conception Cathedral of Pasig,Historical Site/Family,"Pasig, NCR",14.56813588,121.0760105,"The central religious and historical landmark of Pasig, serving as the spiritual heart of the Catholic community in NCR.",Pasig,NCR,historical site|family,Immaculate Conception Cathedral of Pasig Pasig NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZl0RtvG1Es5M47Ujb0OUqVrZtZITdNtkcjw&s
Pasig Mega Market,Pasalubong Store/Family,"Pasig, NCR",14.55880752,121.0840797,"The bustling trade center of Pasig, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Pasig,NCR,pasalubong store|family,Pasig Mega Market Pasig NCR Philippines,https://coinventmediastorage.blob.core.windows.net/media-storage-container/gphoto_ChIJm7IexUzHlzMR69x0zlxNdtk_0.jpg
Pasig City Hall,Nature Park/Family/Relaxation,"Pasig, NCR",14.56016168,121.081025,"A key community gathering space in the heart of Pasig, perfect for leisure, events, and experiencing the local NCR lifestyle.",Pasig,NCR,nature park|family|relaxation,Pasig City Hall Pasig NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiglAPCKlH8IHn5pO87G5BGH1eNc_lBxsI6Q&s
Manam - Estancia,Restaurant/Romantic,"Pasig, NCR",14.57761374,121.0640302,A popular dining spot in Pasig serving authentic NCR dishes and affordable comfort food favored by locals.,Pasig,NCR,restaurant|romantic,Manam - Estancia Pasig NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpD0GSOjPc-RS90FXnW-NoXN1BpeOwrv6urA&s
San Felipe Neri Parish,Historical Site/Family,"Mandaluyong, NCR",14.58624826,121.026372,"The central religious and historical landmark of Mandaluyong, serving as the spiritual heart of the Catholic community in NCR.",Mandaluyong,NCR,historical site|family,San Felipe Neri Parish Mandaluyong NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd5RMziSyoKtnZ8Ge8b0Ho3hda1Tq7jSYpmA&s
Mandaluyong Public Market II,Pasalubong Store/Family,"Mandaluyong, NCR",14.58814743,121.037626,"The bustling trade center of Mandaluyong, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Mandaluyong,NCR,pasalubong store|family,Mandaluyong Public Market II Mandaluyong NCR Philippines,https://upload.wikimedia.org/wikipedia/commons/1/11/5429Mandaluyong_City_Roads_Landmarks_Barangays_08.jpg
Mandaluyong City Hall Plaza,Nature Park/Family/Relaxation,"Mandaluyong, NCR",14.57781597,121.0336622,"A key community gathering space in the heart of Mandaluyong, perfect for leisure, events, and experiencing the local NCR lifestyle.",Mandaluyong,NCR,nature park|family|relaxation,Mandaluyong City Hall Plaza Mandaluyong NCR Philippines,https://upload.wikimedia.org/wikipedia/en/d/df/Mandaluyong_City_Hall_%28Maysilo%2C_Mandaluyong%3B_06-20-2021%29.jpg
R&J Bulalohan,Restaurant/Romantic,"Mandaluyong, NCR",14.57699781,121.0348917,A popular dining spot in Mandaluyong serving authentic NCR dishes and affordable comfort food favored by locals.,Mandaluyong,NCR,restaurant|romantic,R&J Bulalohan Mandaluyong NCR Philippines,https://puredetour.com/wp-content/uploads/2025/12/rj-bulalohan-signage.webp
San Isidro Labrador Parish,Historical Site/Family,"Pasay, NCR",14.558164,120.9962082,"The central religious and historical landmark of Pasay, serving as the spiritual heart of the Catholic community in NCR.",Pasay,NCR,historical site|family,San Isidro Labrador Parish Pasay NCR Philippines,https://loeweann.wordpress.com/wp-content/uploads/2011/05/0-370.jpg
Pasay City Wet Market,Pasalubong Store/Family,"Pasay, NCR",14.54823531,120.9975752,"The bustling trade center of Pasay, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Pasay,NCR,pasalubong store|family,Pasay City Wet Market Pasay NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxEnFl_jSVn_rENh-Jd8kvJI69EOxf831Csw&s
Pasay City Hall,Nature Park/Family/Relaxation,"Pasay, NCR",14.54418811,120.9950991,"A key community gathering space in the heart of Pasay, perfect for leisure, events, and experiencing the local NCR lifestyle.",Pasay,NCR,nature park|family|relaxation,Pasay City Hall Pasay NCR Philippines,https://upload.wikimedia.org/wikipedia/en/9/9e/Pasay_City_Hall_%28F.B._Harrison%2C_Pasay%3B_02-06-2021%29.jpg
Taste of Joy Pasay,Restaurant/Romantic,"Pasay, NCR",14.54647279,120.9912411,A popular dining spot in Pasay serving authentic NCR dishes and affordable comfort food favored by locals.,Pasay,NCR,restaurant|romantic,Taste of Joy Pasay Pasay NCR Philippines,https://d2kihw5e8drjh5.cloudfront.net/eyJidWNrZXQiOiJ1dGEtaW1hZ2VzIiwia2V5IjoicGxhY2VfaW1nL1lHV2pkbUR5UW9LYmYwUVVZMjJpbFEiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjY0MCwiaGVpZ2h0Ijo2NDAsImZpdCI6Imluc2lkZSJ9LCJyb3RhdGUiOm51bGwsInRvRm9ybWF0IjogIndlYnAifX0=
National Shrine of Our Mother of Perpetual Help,Historical Site/Family,"Parañaque, NCR",14.5315629,120.9949408,"The central religious and historical landmark of Parañaque, serving as the spiritual heart of the Catholic community in NCR.",Parañaque,NCR,historical site|family,National Shrine of Our Mother of Perpetual Help Parañaque NCR Philippines,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/72/3b/1c/baclaran-church.jpg?w=1200&h=-1&s=1
Bagong Parañaque Public Market,Pasalubong Store/Family,"Parañaque, NCR",14.49963542,120.991594,"The bustling trade center of Parañaque, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Parañaque,NCR,pasalubong store|family,Bagong Parañaque Public Market Parañaque NCR Philippines,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Paranaque_Public_Market.jpg/330px-Paranaque_Public_Market.jpg
Parañaque Municipal Plaza,Nature Park/Family/Relaxation,"Parañaque, NCR",14.47086769,121.0221961,"A key community gathering space in the heart of Parañaque, perfect for leisure, events, and experiencing the local NCR lifestyle.",Parañaque,NCR,nature park|family|relaxation,Parañaque Municipal Plaza Parañaque NCR Philippines,https://upload.wikimedia.org/wikipedia/commons/7/79/Para%C3%B1aque_San_Dionisio_from_air_%28Para%C3%B1aque%3B_04-29-2023%29.jpg
Dapog Foodhauz,Restaurant/Romantic,"Parañaque, NCR",14.48662552,121.0317121,A popular dining spot in Parañaque serving authentic NCR dishes and affordable comfort food favored by locals.,Parañaque,NCR,restaurant|romantic,Dapog Foodhauz Parañaque NCR Philippines,https://img05.restaurantguru.com/r5fd-interior-Dapog-Food-Hauz.jpg
Mary Immaculate Parish Nature Church,Historical Site/Family,"Las Piñas, NCR",14.43269536,120.9958368,"The central religious and historical landmark of Las Piñas, serving as the spiritual heart of the Catholic community in NCR.",Las Piñas,NCR,historical site|family,Mary Immaculate Parish Nature Church Las Piñas NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0AYWbTyGti7y328ffF00SdhqmXSQCzvq39A&s
New Las Piñas City Public Market,Pasalubong Store/Family,"Las Piñas, NCR",14.4656716,120.9700795,"The bustling trade center of Las Piñas, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Las Piñas,NCR,pasalubong store|family,New Las Piñas City Public Market Las Piñas NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy5Lm_PB7uR7usgfkpkGgYy04B30QfyH6F-g&s
Las Piñas Municipal Plaza,Nature Park/Family/Relaxation,"Las Piñas, NCR",14.45057657,120.9824523,"A key community gathering space in the heart of Las Piñas, perfect for leisure, events, and experiencing the local NCR lifestyle.",Las Piñas,NCR,nature park|family|relaxation,Las Piñas Municipal Plaza Las Piñas NCR Philippines,https://www.dmcihomes.com/uploads/optimized/Las-Pinas-City-maintains-a-relaxed-residential-atmosphere-that-appeals-to-families-and-professionals-looking-for-a-quieter-place-to-call-home-68b8fe0008807.jpg
Cecile's Restaurant,Restaurant/Romantic,"Las Piñas, NCR",14.44484572,120.9935648,A popular dining spot in Las Piñas serving authentic NCR dishes and affordable comfort food favored by locals.,Las Piñas,NCR,restaurant|romantic,Cecile's Restaurant Las Piñas NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0lREKaOoAOAZSvyc8_jGdLC1JsYCvg0A9zg&s
Sacred Heart of Jesus Parish,Historical Site/Family,"Muntinlupa, NCR",14.43630028,121.0415919,"The central religious and historical landmark of Muntinlupa, serving as the spiritual heart of the Catholic community in NCR.",Muntinlupa,NCR,historical site|family,Sacred Heart of Jesus Parish Muntinlupa NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4Hkn9LMWZA0srOxdwA7YlSxfetvRCX9x1dg&s
Alabang Public Market,Pasalubong Store/Family,"Muntinlupa, NCR",14.4208226,121.0444061,"The bustling trade center of Muntinlupa, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Muntinlupa,NCR,pasalubong store|family,Alabang Public Market Muntinlupa NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMmecRMfg0CzilVYg4bjOWah_VehKaOI3TLQ&s
Muntinlupa Municipal Plaza,Nature Park/Family/Relaxation,"Muntinlupa, NCR",14.39787671,121.044755,"A key community gathering space in the heart of Muntinlupa, perfect for leisure, events, and experiencing the local NCR lifestyle.",Muntinlupa,NCR,nature park|family|relaxation,Muntinlupa Municipal Plaza Muntinlupa NCR Philippines,https://upload.wikimedia.org/wikipedia/en/b/bc/Muntinlupa_City_Hall_%28Manila_South_Road%2C_Muntinlupa%3B_12-23-2021%29.jpg
TapsihanNiKuyaRice,Restaurant/Romantic,"Muntinlupa, NCR",14.40954665,121.0456504,A popular dining spot in Muntinlupa serving authentic NCR dishes and affordable comfort food favored by locals.,Muntinlupa,NCR,restaurant|romantic,TapsihanNiKuyaRice Muntinlupa NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpWSvq0DehN7sX6uPvsX1EFe2KsLIP3miHVw&s
National Shrine and Parish of Our Lady of Fatima,Historical Site/Family,"Valenzuela, NCR",14.68302917,120.9805123,"The central religious and historical landmark of Valenzuela, serving as the spiritual heart of the Catholic community in NCR.",Valenzuela,NCR,historical site|family,National Shrine and Parish of Our Lady of Fatima Valenzuela NCR Philippines,https://upload.wikimedia.org/wikipedia/commons/4/44/National_Shrine_of_Our_Lady_of_Fatima%2C_Valenzuela%2C_Jul_2024.jpg
Polo Public Market,Pasalubong Store/Family,"Valenzuela, NCR",14.70929712,120.9474028,"The bustling trade center of Valenzuela, NCR, offering fresh local produce, regional delicacies, and native handicrafts.",Valenzuela,NCR,pasalubong store|family,Polo Public Market Valenzuela NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWkXK2VZM2FjsAzQWuadZCbgMZhsPOxcxjig&s
Valenzuela Municipal Plaza,Nature Park/Family/Relaxation,"Valenzuela, NCR",14.69216085,120.9696185,"A key community gathering space in the heart of Valenzuela, perfect for leisure, events, and experiencing the local NCR lifestyle.",Valenzuela,NCR,nature park|family|relaxation,Valenzuela Municipal Plaza Valenzuela NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8dofF_KF_WoOOzYRc7eFL2J6LXvMf19qOGw&s
Tagpuan Central Valenzuela,Restaurant/Romantic,"Valenzuela, NCR",14.69471501,120.9676778,A popular dining spot in Valenzuela serving authentic NCR dishes and affordable comfort food favored by locals.,Valenzuela,NCR,restaurant|romantic,Tagpuan Central Valenzuela Valenzuela NCR Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPmR6H2BpPic8jkUWwx39St6ee8ZwSPhpsFw&s
